ID,contractNumber,title,description,vendor_ID,contractStatus_code,spendCategory_code,startDate,endDate,renewalDate,contractValue,committedSpend,utilizedSpend,remainingValue,currency_code,paymentTerms,incoterms,pricingModel,discountPercentage,minOrderValue,maxOrderValue,slaApplicable,penaltyClause,businessUnit,department,costCenter,contractOwner,approvalLevel,autoRenewal,renewalNoticeDays,complianceScore,createdAt,createdBy,modifiedAt,modifiedBy
CT001,CT-2025-001,Laptop Procurement,Enterprise laptop purchase agreement,V001,ACTIVE,IT,2025-01-01,2026-01-01,2025-12-01,5000000,3500000,2000000,3000000,INR,Net30,FOB,Fixed,5,50000,1000000,true,true,Technology,IT,C1001,Rajesh Kumar,L2,true,30,92,2025-01-01T10:00:00Z,admin,2025-01-01T10:00:00Z,admin
CT002,CT-2025-002,Monitor Procurement,Monitor supply agreement,V001,ACTIVE,IT,2025-02-01,2026-02-01,2026-01-01,2000000,1500000,900000,1100000,INR,Net30,CIF,Fixed,4,20000,500000,true,false,Technology,IT,C1002,Anita Sharma,L2,true,45,88,2025-02-01T10:00:00Z,admin,2025-02-01T10:00:00Z,admin
CT003,CT-2025-003,Furniture Contract,Office furniture supply,V002,ACTIVE,ADMIN,2025-01-15,2026-01-15,2025-12-15,1500000,1200000,700000,800000,INR,Net45,FOB,Variable,6,15000,400000,false,false,Admin,Facilities,C2001,Sunil Rao,L1,false,60,80,2025-01-15T10:00:00Z,admin,2025-01-15T10:00:00Z,admin
CT004,CT-2025-004,Printer Agreement,Printer and consumables,V003,ACTIVE,IT,2025-03-01,2026-03-01,2026-02-01,1800000,1200000,650000,1150000,INR,Net30,CIF,Fixed,3,20000,350000,true,true,Technology,IT,C1003,Pooja Singh,L2,true,30,90,2025-03-01T10:00:00Z,admin,2025-03-01T10:00:00Z,admin
CT005,CT-2025-005,Networking Devices,Switches and routers,V001,ACTIVE,IT,2025-02-10,2026-02-10,2026-01-10,3000000,2000000,1200000,1800000,INR,Net30,FOB,Fixed,4,30000,600000,true,true,Technology,IT,C1004,Amit Patel,L3,true,30,94,2025-02-10T10:00:00Z,admin,2025-02-10T10:00:00Z,admin
CT006,CT-2025-006,Software Licenses,Enterprise license contract,V004,ACTIVE,IT,2025-01-20,2026-01-20,2025-12-20,2500000,2000000,1500000,1000000,INR,Net15,CIF,Subscription,2,10000,500000,true,false,Technology,IT,C1005,Nikhil Verma,L2,true,15,96,2025-01-20T10:00:00Z,admin,2025-01-20T10:00:00Z,admin
CT007,CT-2025-007,Security Services,Security manpower,V005,ACTIVE,ADMIN,2025-01-01,2025-12-31,2025-11-30,2200000,1800000,900000,1300000,INR,Net30,NA,Fixed,0,5000,200000,true,true,Admin,Security,C2002,Kiran Das,L2,true,30,85,2025-01-01T10:00:00Z,admin,2025-01-01T10:00:00Z,admin
CT008,CT-2025-008,Housekeeping Services,Facility cleaning,V006,ACTIVE,ADMIN,2025-02-01,2026-02-01,2026-01-01,1700000,1400000,900000,800000,INR,Net30,NA,Fixed,0,5000,150000,true,false,Admin,Facilities,C2003,Meena Iyer,L1,true,45,82,2025-02-01T10:00:00Z,admin,2025-02-01T10:00:00Z,admin
CT009,CT-2025-009,Cloud Services,Cloud hosting contract,V007,ACTIVE,IT,2025-01-10,2026-01-10,2025-12-10,4000000,3000000,2100000,1900000,INR,Net15,NA,Consumption,5,20000,800000,true,false,Technology,Cloud,C1006,Rohit Nair,L3,true,15,97,2025-01-10T10:00:00Z,admin,2025-01-10T10:00:00Z,admin
CT010,CT-2025-010,Consulting Services,IT consulting,V008,ACTIVE,IT,2025-03-01,2026-03-01,2026-02-01,2800000,2200000,1400000,1400000,INR,Net30,NA,Time&Material,3,15000,300000,false,false,Technology,IT,C1007,Sneha Gupta,L2,true,30,89,2025-03-01T10:00:00Z,admin,2025-03-01T10:00:00Z,admin
CT011,CT-2025-011,Stationery Supplies,Office stationery,V009,ACTIVE,ADMIN,2025-01-01,2026-01-01,2025-12-01,800000,600000,350000,450000,INR,Net30,FOB,Fixed,4,5000,100000,false,false,Admin,Procurement,C2004,Arun Shah,L1,true,30,78,2025-01-01T10:00:00Z,admin,2025-01-01T10:00:00Z,admin
CT012,CT-2025-012,Catering Services,Office cafeteria,V010,ACTIVE,ADMIN,2025-02-01,2026-02-01,2026-01-01,1600000,1200000,700000,900000,INR,Net30,NA,Fixed,0,5000,120000,true,false,Admin,HR,C2005,Neha Kapoor,L2,true,30,83,2025-02-01T10:00:00Z,admin,2025-02-01T10:00:00Z,admin
CT013,CT-2025-013,Transport Services,Employee transport,V011,ACTIVE,ADMIN,2025-01-15,2026-01-15,2025-12-15,2100000,1700000,900000,1200000,INR,Net30,NA,Fixed,0,5000,150000,true,false,Admin,HR,C2006,Ajay Mehta,L2,true,30,84,2025-01-15T10:00:00Z,admin,2025-01-15T10:00:00Z,admin
CT014,CT-2025-014,Data Center Ops,Infrastructure support,V007,ACTIVE,IT,2025-03-01,2026-03-01,2026-02-01,3500000,2500000,1500000,2000000,INR,Net30,NA,Fixed,3,20000,700000,true,true,Technology,Infra,C1008,Deepak Rao,L3,true,30,95,2025-03-01T10:00:00Z,admin,2025-03-01T10:00:00Z,admin
CT015,CT-2025-015,Audit Services,External audit,V012,ACTIVE,FIN,2025-01-01,2025-12-31,2025-11-30,900000,700000,400000,500000,INR,Net30,NA,Fixed,0,10000,150000,false,false,Finance,Audit,C3001,Kavita Jain,L2,false,60,87,2025-01-01T10:00:00Z,admin,2025-01-01T10:00:00Z,admin
CT016,CT-2025-016,Legal Services,Corporate legal,V013,ACTIVE,FIN,2025-02-01,2026-02-01,2026-01-01,1200000,900000,500000,700000,INR,Net30,NA,Time&Material,2,10000,200000,false,false,Finance,Legal,C3002,Rahul Bansal,L2,true,30,86,2025-02-01T10:00:00Z,admin,2025-02-01T10:00:00Z,admin
CT017,CT-2025-017,Training Services,Employee training,V014,ACTIVE,HR,2025-01-10,2026-01-10,2025-12-10,1100000,800000,450000,650000,INR,Net30,NA,Fixed,0,10000,200000,false,false,HR,Learning,C4001,Suman Roy,L1,true,30,82,2025-01-10T10:00:00Z,admin,2025-01-10T10:00:00Z,admin
CT018,CT-2025-018,Marketing Services,Digital marketing,V015,ACTIVE,MKT,2025-02-01,2026-02-01,2026-01-01,1900000,1500000,900000,1000000,INR,Net30,NA,Variable,3,15000,300000,false,false,Marketing,Digital,C5001,Ritu Malhotra,L2,true,30,88,2025-02-01T10:00:00Z,admin,2025-02-01T10:00:00Z,admin
CT019,CT-2025-019,Recruitment Services,Hiring support,V016,ACTIVE,HR,2025-01-01,2025-12-31,2025-11-30,1400000,1000000,600000,800000,INR,Net30,NA,Variable,2,10000,250000,false,false,HR,Talent,C4002,Varun Khanna,L2,false,60,81,2025-01-01T10:00:00Z,admin,2025-01-01T10:00:00Z,admin
CT020,CT-2025-020,AMC Hardware,Annual maintenance,V003,ACTIVE,IT,2025-03-01,2026-03-01,2026-02-01,2300000,1800000,1000000,1300000,INR,Net30,FOB,Fixed,3,20000,400000,true,true,Technology,Support,C1009,Manish Tiwari,L3,true,30,91,2025-03-01T10:00:00Z,admin,2025-03-01T10:00:00Z,admin
