
ID,parent_ID,itemCode,itemDescription,catalogItem,unitPrice,currency_code,minQty,maxQty,leadTimeDays,taxPercentage,discountAllowed,createdAt,createdBy,modifiedAt,modifiedBy
CI001,CT001,ITM-LAP-001,Business Laptop Standard Model,true,65000,INR,1,50,7,18,true,2025-01-01T10:00:00Z,admin,2025-01-01T10:00:00Z,admin
CI002,CT001,ITM-LAP-002,Business Laptop Advanced Model,true,82000,INR,1,40,10,18,true,2025-01-02T10:00:00Z,admin,2025-01-02T10:00:00Z,admin
CI003,CT002,ITM-MON-001,24 Inch Monitor,true,12000,INR,2,100,5,18,true,2025-01-03T10:00:00Z,admin,2025-01-03T10:00:00Z,admin
CI004,CT002,ITM-MON-002,27 Inch Monitor,true,18500,INR,2,80,6,18,true,2025-01-04T10:00:00Z,admin,2025-01-04T10:00:00Z,admin
CI005,CT003,ITM-KEY-001,Wireless Keyboard,true,1800,INR,5,200,4,18,true,2025-01-05T10:00:00Z,admin,2025-01-05T10:00:00Z,admin
CI006,CT003,ITM-MOU-001,Wireless Mouse,true,950,INR,5,200,4,18,true,2025-01-06T10:00:00Z,admin,2025-01-06T10:00:00Z,admin
CI007,CT004,ITM-CHA-001,Office Chair Ergonomic,false,7200,INR,1,60,12,18,false,2025-01-07T10:00:00Z,admin,2025-01-07T10:00:00Z,admin
CI008,CT004,ITM-DESK-001,Office Desk Adjustable,false,14500,INR,1,40,15,18,false,2025-01-08T10:00:00Z,admin,2025-01-08T10:00:00Z,admin
CI009,CT005,ITM-PRI-001,Laser Printer,true,21000,INR,1,30,9,18,true,2025-01-09T10:00:00Z,admin,2025-01-09T10:00:00Z,admin
CI010,CT005,ITM-SCN-001,Document Scanner,true,16500,INR,1,25,8,18,true,2025-01-10T10:00:00Z,admin,2025-01-10T10:00:00Z,admin
CI011,CT006,ITM-STO-001,External HDD 1TB,true,5200,INR,3,120,6,18,true,2025-01-11T10:00:00Z,admin,2025-01-11T10:00:00Z,admin
CI012,CT006,ITM-STO-002,External SSD 512GB,true,6800,INR,3,100,6,18,true,2025-01-12T10:00:00Z,admin,2025-01-12T10:00:00Z,admin
CI013,CT007,ITM-CAB-001,LAN Cable 5m,true,250,INR,10,500,3,18,true,2025-01-13T10:00:00Z,admin,2025-01-13T10:00:00Z,admin
CI014,CT007,ITM-CAB-002,HDMI Cable 2m,true,350,INR,10,400,3,18,true,2025-01-14T10:00:00Z,admin,2025-01-14T10:00:00Z,admin
CI015,CT008,ITM-SFT-001,Antivirus License Annual,false,950,INR,20,500,1,18,false,2025-01-15T10:00:00Z,admin,2025-01-15T10:00:00Z,admin
CI016,CT008,ITM-SFT-002,Office Suite License,false,7200,INR,10,300,1,18,false,2025-01-16T10:00:00Z,admin,2025-01-16T10:00:00Z,admin
CI017,CT009,ITM-BAG-001,Laptop Carry Bag,true,850,INR,5,200,4,18,true,2025-01-17T10:00:00Z,admin,2025-01-17T10:00:00Z,admin
CI018,CT009,ITM-ACC-001,Laptop Docking Station,true,9500,INR,2,80,7,18,true,2025-01-18T10:00:00Z,admin,2025-01-18T10:00:00Z,admin
CI019,CT010,ITM-NET-001,WiFi Router Enterprise,false,12500,INR,1,40,10,18,false,2025-01-19T10:00:00Z,admin,2025-01-19T10:00:00Z,admin
CI020,CT010,ITM-NET-002,Network Switch 24 Port,false,18200,INR,1,30,10,18,false,2025-01-20T10:00:00Z,admin,2025-01-20T10:00:00Z,admin
