ID,parent_ID,itemCode,itemDescription,quantity,unitPrice,contractItem_ID,currency_code,taxPercentage,totalAmount,priceVariance,varianceFlag,createdAt,createdBy,modifiedAt,modifiedBy
PI001,PO001,LAP001,Business Laptop,2,60000,CI001,INR,18,120000,0,false,2025-02-01T10:00:00Z,admin,2025-02-01T10:00:00Z,admin
PI002,PO002,MON001,24 Inch Monitor,5,12000,CI003,INR,18,60000,0,false,2025-02-02T10:00:00Z,admin,2025-02-02T10:00:00Z,admin
PI003,PO003,CHA001,Office Chair,4,7200,CI007,INR,18,28800,0,false,2025-02-03T10:00:00Z,admin,2025-02-03T10:00:00Z,admin
PI004,PO004,PRI001,Laser Printer,2,35000,CI009,INR,18,70000,14000,true,2025-02-04T10:00:00Z,admin,2025-02-04T10:00:00Z,admin
PI005,PO005,NET001,Network Switch,3,36000,CI020,INR,18,108000,5400,true,2025-02-05T10:00:00Z,admin,2025-02-05T10:00:00Z,admin
PI006,PO006,SFT001,Software License,10,15000,CI015,INR,18,150000,500,true,2025-02-06T10:00:00Z,admin,2025-02-06T10:00:00Z,admin
PI007,PO007,SEC001,Security Service,1,200000,,INR,18,200000,0,false,2025-02-07T10:00:00Z,admin,2025-02-07T10:00:00Z,admin
PI008,PO008,CLE001,Housekeeping Service,1,130000,,INR,18,130000,0,false,2025-02-08T10:00:00Z,admin,2025-02-08T10:00:00Z,admin
PI009,PO009,CLD001,Cloud Usage,1,250000,CI013,INR,18,250000,10000,true,2025-02-09T10:00:00Z,admin,2025-02-09T10:00:00Z,admin
PI010,PO010,CON001,Consulting Work,1,180000,,INR,18,180000,0,false,2025-02-10T10:00:00Z,admin,2025-02-10T10:00:00Z,admin
PI011,PO011,STN001,Stationery Pack,10,2500,CI013,INR,18,25000,0,false,2025-02-11T10:00:00Z,admin,2025-02-11T10:00:00Z,admin
PI012,PO012,CAT001,Catering Service,1,90000,,INR,18,90000,0,false,2025-02-12T10:00:00Z,admin,2025-02-12T10:00:00Z,admin
PI013,PO013,TRN001,Transport Services,1,140000,,INR,18,140000,0,false,2025-02-13T10:00:00Z,admin,2025-02-13T10:00:00Z,admin
PI014,PO014,INF001,Infra Support,1,210000,CI018,INR,18,210000,8000,true,2025-02-14T10:00:00Z,admin,2025-02-14T10:00:00Z,admin
PI015,PO015,AUD001,Audit Service,1,95000,,INR,18,95000,0,false,2025-02-15T10:00:00Z,admin,2025-02-15T10:00:00Z,admin
PI016,PO016,LEG001,Legal Service,1,105000,,INR,18,105000,0,false,2025-02-16T10:00:00Z,admin,2025-02-16T10:00:00Z,admin
PI017,PO017,TRG001,Training Program,1,85000,,INR,18,85000,0,false,2025-02-17T10:00:00Z,admin,2025-02-17T10:00:00Z,admin
PI018,PO018,MKT001,Marketing Campaign,1,175000,,INR,18,175000,0,false,2025-02-18T10:00:00Z,admin,2025-02-18T10:00:00Z,admin
PI019,PO019,REC001,Recruitment Support,1,125000,,INR,18,125000,0,false,2025-02-19T10:00:00Z,admin,2025-02-19T10:00:00Z,admin
PI020,PO020,AMC001,AMC Hardware,1,195000,CI020,INR,18,195000,2000,true,2025-02-20T10:00:00Z,admin,2025-02-20T10:00:00Z,admin
